fighter,opponent,date,elo_before,elo_after,result,elo_trend
Alan Jouban,Dwight Grant,2019-04-13,1583.8373743232703,1541.340481038846,0.0,-103.28820556914638
Alan Jouban,Jared Gooden,2020-11-21,1531.0053607791347,1574.73314701018,1.0,-100.64392911485675
Alan Omer,Jim Alers,2014-04-11,1500.0,1464.0,0.0,
Alan Omer,Arnold Allen,2015-06-20,1473.0,1417.6533710468607,0.0,
Alan Patrick,Garett Whiteley,2013-10-09,1500.0,1560.0,1.0,
Alan Patrick,John Makdessi,2014-02-01,1560.0,1617.9007063783617,1.0,
Alan Patrick,Mairbek Taisumov,2015-06-20,1588.4255297837713,1530.9675208363353,0.0,
Alan Patrick,Damien Brown,2016-03-19,1530.9675208363353,1574.700493485528,1.0,30.967520836335325
Alan Patrick,Stevie Ray,2016-09-24,1574.700493485528,1630.6102080580433,1.0,14.700493485528114
Alan Patrick,Damir Hadzovic,2018-02-03,1597.9576560435326,1636.20432496919,1.0,9.532126259761299
Alan Patrick,Scott Holtzman,2018-10-06,1636.20432496919,1565.1399711118963,0.0,105.23680413285479
Alan Patrick,King Green,2020-09-12,1548.8549783339222,1508.3757914518608,0.0,-25.845515151605923
Alan Patrick,Michael Johnson,2022-05-14,1506.2818435888955,1431.9111891118214,0.0,-91.67581245463703
Alatengheili,Kevin Croom,2022-04-16,1500.0,1556.7560232130015,1.0,
Alatengheili,Chad Anheliger,2022-09-10,1556.7560232130015,1604.0715863429962,1.0,
Alatengheili,Chris Gutierrez,2023-10-14,1578.0536897572472,1543.4624221927188,0.0,
Alatengheili,Kleydson Rodrigues,2024-05-18,1543.4624221927188,1581.3573509257094,1.0,43.462422192718805
Alatengheili,Da'Mon Blackshear,2025-04-26,1581.3573509257094,1536.8612950874403,0.0,24.60132771270787
Albert Cheng,An Ying Wang,2014-03-01,1500.0,1452.0,0.0,
Albert Duraev,Roman Kopylov,2021-10-30,1500.0,1542.6150038571093,1.0,
Albert Duraev,Joaquin Buckley,2022-06-18,1542.6150038571093,1490.2729239506975,0.0,
Albert Duraev,Chidi Njokuani,2023-03-25,1490.2729239506975,1533.0703361972064,1.0,
Albert Duraev,JunYong Park,2023-07-15,1533.0703361972064,1487.508304328412,0.0,33.070336197206416
Albert Morales,Thomas Almeida,2016-11-19,1500.0,1458.7564154449335,0.0,
Albert Morales,Andre Soukhamthath,2017-03-04,1458.7564154449335,1499.0099630803797,1.0,
Albert Morales,Brett Johns,2017-07-16,1499.0099630803797,1457.7336847077604,0.0,
Albert Morales,Benito Lopez,2017-12-09,1457.7336847077604,1415.544355645366,0.0,-42.2663152922396
Albert Morales,Manny Bermudez,2018-02-24,1415.544355645366,1369.848688108374,0.0,-43.21205979956744
Albert Tumenov,Ildemar Alcantara,2014-02-15,1500.0,1467.4157843361447,0.0,
Albert Tumenov,Anthony Lapsley,2014-05-10,1467.4157843361447,1524.5460016583095,1.0,
Albert Tumenov,Matt Dwyer,2014-10-04,1524.5460016583095,1580.3140958947754,1.0,
Albert Tumenov,Nico Musoke,2015-01-24,1580.3140958947754,1628.4447238491941,1.0,80.31409589477539
Albert Tumenov,Alan Jouban,2015-10-03,1628.4447238491941,1685.6152293802838,1.0,161.0289395130494
Albert Tumenov,Lorenz Larkin,2016-01-02,1685.6152293802838,1709.7980873433105,1.0,161.06922772197436
Albert Tumenov,Gunnar Nelson,2016-05-08,1709.7980873433105,1638.1979527920653,0.0,129.4839914485351
Albert Tumenov,Leon Edwards,2016-10-08,1638.1979527920653,1564.2533159621232,0.0,9.753228942871147
Alberto Mina,Shinsho Anzai,2014-08-23,1500.0,1560.0,1.0,
Alberto Mina,Yoshihiro Akiyama,2015-11-28,1545.0,1571.440233820522,1.0,
Alberto Mina,Mike Pyle,2016-07-07,1571.440233820522,1638.7046447440162,1.0,
Alberto Mina,Ramazan Emeev,2018-05-12,1604.028483558012,1551.3019787288365,0.0,104.02848355801211
Alberto Montes,Ricky Turcios,2026-03-07,1500.0,1548.0922079035788,1.0,
Alberto Uda,Jake Collier,2016-05-29,1500.0,1425.8814100500576,0.0,
Alberto Uda,Marvin Vettori,2016-08-20,1425.8814100500576,1378.490534987355,0.0,
Alden Coria,Alessandro Costa,2025-09-13,1500.0,1564.5672478656215,1.0,
Alden Coria,Luis Gurule,2026-02-21,1564.5672478656215,1590.0220293252983,1.0,
Alejandro Perez,Jose Quinonez,2014-11-15,1500.0,1548.0,1.0,
Alejandro Perez,Patrick Williams,2015-06-13,1548.0,1472.3123653660557,0.0,
Alejandro Perez,Scott Jorgensen,2015-11-21,1472.3123653660557,1515.6357508464166,1.0,
Alejandro Perez,Ian Entwistle,2016-04-10,1515.6357508464166,1574.264649957748,1.0,15.635750846416613
Alejandro Perez,Andre Soukhamthath,2017-08-05,1555.698487468311,1582.0015765297242,1.0,7.6984874683109865
Alejandro Perez,Iuri Alcantara,2017-12-09,1582.0015765297242,1631.3355802359451,1.0,109.68921116366846
Alejandro Perez,Matthew Lopez,2018-04-14,1631.3355802359451,1678.4908524158814,1.0,115.69982938952853
Alejandro Perez,Eddie Wineland,2018-07-14,1678.4908524158814,1710.5739398858143,1.0,122.79236494757038
Alejandro Perez,Cody Stamann,2019-03-02,1710.5739398858143,1644.999219233458,0.0,128.57236335609014
