fighter,current_elo,last_fight_date,total_fights
Wanderlei Silva,1544.2535657404565,2013-03-02,4
Jeff Hougland,1449.7491591358735,2012-11-10,3
Donny Walker,1389.928497068115,2011-09-17,2
Paul Bradley,1425.8265123116162,2011-11-12,2
Ronny Markes,1486.6045149726315,2014-03-23,5
Jimy Hettes,1463.9315466644857,2015-04-18,6
Minotauro Nogueira,1438.736948567129,2015-08-01,6
Stanislav Nedkov,1425.6320442130586,2015-01-24,3
Johnny Eduardo,1417.5426395967327,2021-10-02,8
Erick Silva,1458.9764968693657,2017-12-16,15
Luis Ramos,1392.806612476964,2012-06-22,2
Iuri Alcantara,1536.8058849922845,2018-08-25,17
Felipe Arantes,1464.6769165539058,2018-06-23,11
Lance Benoist,1512.0188854341134,2014-06-07,4
Mike Stumpf,1410.0825856167596,2013-01-26,2
Robert Peralta,1503.4921188217807,2015-04-04,7
Jorge Lopez,1417.3331981787976,2012-05-15,2
Junior Assuncao,1493.6473521670064,2011-12-30,2
Eddie Yagin,1488.2542997596872,2012-04-21,2
Mike Easton,1462.6342534001972,2014-06-14,7
Byron Bloodworth,1421.1699022422456,2012-12-29,2
Josh Neer,1439.380641625587,2013-02-23,5
Keith Wisniewski,1393.8112526698628,2013-09-04,3
Walel Watson,1397.0425954506827,2012-09-22,4
Joseph Sandoval,1390.259841440617,2012-01-20,2
Stipe Miocic,1712.799803851667,2024-11-16,19
Nick Diaz,1435.287061638632,2021-09-25,4
Jeff Curran,1409.9416401197104,2012-05-15,2
Hatsu Hioki,1420.132807520359,2015-05-09,8
Bart Palaszewski,1394.3881724590155,2013-04-13,4
Francis Carmont,1570.028638143334,2014-08-23,9
Dustin Jacoby,1705.1135749214052,2026-02-07,16
Clifford Starks,1442.0461337536487,2013-04-20,3
Brad Pickett,1372.6761472089104,2017-03-18,14
Papy Abedi,1383.6855054026792,2013-08-28,4
Philip De Fries,1416.161894271036,2013-04-06,5
Vaughan Lee,1429.219076759252,2015-07-18,8
Che Mills,1552.2879007639547,2012-09-29,3
John Maguire,1442.6187325092376,2013-06-15,5
Cub Swanson,1646.366678267195,2024-12-14,25
Darren Uyenoyama,1499.1861031096996,2013-12-14,4
Matt Lucas,1442.5762123808556,2011-11-12,1
Dan Henderson,1533.6176977170687,2016-10-08,11
Cung Le,1485.8221367017716,2014-08-23,4
Alex Soto,1403.291961352243,2012-05-15,2
TJ Dillashaw,1694.136275371525,2022-10-22,18
John Dodson,1629.4680678630232,2020-08-15,17
Jason Miller,1412.4655338352686,2012-05-26,2
Diego Brandao,1569.317200270686,2016-01-02,10
Dennis Bermudez,1547.0514571196702,2019-01-19,17
Bryan Caraway,1566.258019234802,2018-11-30,10
Dustin Neace,1440.0,2011-12-03,1
Marcus Brimage,1419.8700519517236,2015-07-18,8
Stephen Bass,1452.0,2011-12-03,1
Dustin Pague,1354.0276792433945,2013-10-19,6
John Albert,1341.8010097301042,2013-07-27,5
Roland Delorme,1465.3073044014113,2014-08-23,6
Josh Ferguson,1411.382686983422,2012-07-11,2
Steven Siler,1483.964866756509,2014-07-26,9
Josh Clopton,1432.0231554354461,2013-08-03,2
Louis Gaudinot,1440.1179967186017,2015-01-03,4
Johnny Bedford,1415.8044529953906,2014-09-13,5
Jake Hecht,1456.836372223778,2012-06-08,3
Mitch Clarke,1402.7889298840792,2017-09-09,7
John Cholish,1462.0608839709955,2013-05-18,3
Alistair Overeem,1697.0881122823043,2021-02-06,20
Antonio Carvalho,1522.4525250453319,2013-03-16,4
Ednaldo Oliveira,1406.0210329022896,2013-08-03,2
Carlo Prater,1460.0768429820137,2012-10-05,3
Jared Papazian,1357.396589601136,2012-12-15,3
Daniel Pineda,1450.1390965020792,2024-10-19,13
Pat Schilling,1395.4239020971152,2012-06-01,2
Khabib Nurmagomedov,1896.212298275403,2020-10-24,13
Tommy Hayden,1384.1935580698066,2012-08-11,2
Nick Denis,1491.5114555599166,2012-05-05,2
Eric Wisely,1388.4710748985362,2012-04-14,2
Lavar Johnson,1492.7315522174174,2013-02-23,4
Fabricio Werdum,1668.0825569458198,2020-07-25,14
Henry Martinez,1446.6529884967752,2012-12-08,3
Michael Kuiper,1407.7111023114192,2013-10-26,4
Dan Stittgen,1410.1559048643703,2012-07-11,2
Stephen Thompson,1573.9758705013835,2025-07-12,21
Max Holloway,1870.2948948092646,2026-03-07,32
Anton Kuivanen,1439.2215996172442,2013-02-23,3
Justin Salas,1420.771710121085,2016-03-05,7
Tim Means,1428.12408359347,2024-10-05,29
Bernardo Magalhaes,1417.1662525609108,2012-06-08,2
Eiji Mitsuoka,1379.8787261662815,2012-08-11,2
Issei Tamura,1442.3917080509484,2013-03-16,3
Yasuhiro Urushitani,1403.5268104740705,2012-11-10,2
Nick Penner,1406.1809843397064,2012-12-14,2
Andrew Craig,1428.0839721761874,2015-07-15,7
Oli Thompson,1388.7001878137871,2012-08-04,2
Shawn Jordan,1595.0437518804267,2015-10-03,10
Thiago Silva,1578.9882969296132,2013-10-09,3
Siyar Bahadurzada,1519.2021123670888,2019-09-28,8
Simeon Thoresen,1448.9865455964418,2013-01-26,3
Besam Yousef,1397.6998159802893,2013-04-06,2
Tom DeBlass,1402.4161587390536,2012-11-10,2
Magnus Cedenblad,1555.9997827506943,2016-11-19,6
Reza Madadi,1504.1524975433497,2017-05-28,7
Yoislandy Izquierdo,1383.47502039216,2012-07-07,2
Chris Clements,1501.3917605279119,2015-04-25,4
Chad Griggs,1416.6190018688885,2012-11-17,2
Maximo Blanco,1475.6140092465475,2016-09-17,9
John Alessio,1401.4873710409618,2012-07-07,2
Tim Elliott,1605.8543065474205,2025-08-16,21
John Lineker,1780.8820433543815,2019-04-27,16
Marcus LeVesseur,1416.980907564624,2012-12-08,3
Antonio Silva,1359.2021314524466,2016-09-24,10
Shane del Rosario,1393.146068677882,2012-12-15,2
Jamie Varner,1360.447040328736,2014-12-13,7
Glover Teixeira,1776.186851960976,2023-01-21,23
Michael Chiesa,1721.4376490714894,2026-03-28,22
Al Iaquinta,1546.6586414487094,2021-11-06,15
Justin Lawrence,1428.5107452413456,2013-04-13,3
John Cofer,1390.259841440617,2012-12-15,2
Myles Jury,1555.8979800012057,2019-02-17,12
Chris Saunders,1440.0,2012-06-01,1
Cristiano Marcello,1402.7131090985101,2014-02-15,4
Sam Sicilia,1400.6055438166954,2017-02-19,12
Joe Proctor,1466.0089680779206,2017-04-22,8
Jeremy Larsen,1341.9678601339112,2013-10-19,3
Erik Perez,1670.5159792301897,2016-11-05,9
Daron Cruickshank,1421.5842261417777,2016-01-17,12
Chris Tickle,1452.0,2012-06-01,1
Ian McCall,1502.2932927776665,2015-01-31,5
Buddy Roberts,1483.6746875686315,2012-08-11,2
Caio Magalhaes,1531.0358317136515,2016-09-10,7
Brock Jardine,1393.9915004464285,2013-02-23,2
CJ Keith,1391.1167489108602,2013-01-19,2
Joey Gambino,1416.6102123024912,2012-10-13,2
Cezar Ferreira,1533.2016135491406,2019-07-13,15
Sergio Moraes,1556.963399934558,2019-11-16,13
Godofredo Pepey,1488.2185538321003,2018-01-27,11
Rony Jason,1490.3113855339145,2017-03-11,8
Thiago Perpetuo,1413.5108015429678,2014-03-23,3
Leonardo Mafra,1421.1912921962257,2015-07-18,4
Anistavio Medeiros,1440.0,2012-06-23,1
Rodrigo Damm,1427.6129787251832,2015-01-03,7
Delson Heleno,1440.0,2012-06-23,1
Francisco Trinaldo,1709.7383329818433,2022-10-01,26
John Teixeira,1464.0,2012-06-23,1
Hugo Viana,1449.5209386505667,2015-08-01,6
Marcos Vinicius,1437.8582616761005,2013-09-04,3
Wagner Campos,1440.0,2012-06-23,1
Hacran Dias,1454.458028904919,2017-10-28,8
Marcelo Guimaraes,1461.526228742953,2016-03-05,4
Hector Lombard,1364.788569777492,2018-09-22,11
Ryan Jimmo,1486.8570166030324,2015-05-30,7
Mitch Gagnon,1465.2515798754062,2019-05-04,8
Mike Swick,1456.966986257635,2015-07-11,3
John Moraga,1582.4684099948163,2018-08-25,14
Ulysses Gomez,1392.9832028047178,2013-02-16,2
Chico Camus,1454.419251191348,2015-09-26,7
Roger Hollett,1399.3526340818582,2013-05-18,2
Vinny Magalhaes,1486.749670281963,2013-08-03,3
