fighter,cluster,archetype,current_age,cum_fights,career_win_rate_traj,career_finish_rate,win_rate_l5_vs_career,finish_rate_trend,fights_since_finish,longest_lose_streak_ever
Lina Lansberg,3,Veteran Contender,29.0,17,0.5882352941176471,0.23529411764705882,-0.18823529411764706,-0.23529411764705882,9.0,3
Lisa Ellis,1,Veteran Contender,43.5,25,0.6,0.44,-0.39999999999999997,-0.24,1.0,3
Liu Pingyuan,2,Elite Finisher,29.0,20,0.75,0.5,0.050000000000000044,-0.09999999999999998,2.0,2
Liudvik Sholinian,4,Active Performer,36.3,12,0.75,0.4166666666666667,0.050000000000000044,-0.016666666666666663,1.0,1
Livinha Souza,0,Fading Contender,35.2,17,0.8235294117647058,0.5882352941176471,-0.22352941176470587,-0.38823529411764707,3.0,1
Liz Carmouche,4,Active Performer,42.2,32,0.75,0.5,0.050000000000000044,-0.09999999999999998,0.0,2
Loik Radzhabov,0,Fading Contender,29.0,24,0.75,0.5416666666666666,-0.15000000000000002,-0.1416666666666666,2.0,3
Loma Lookboonmee,2,Elite Finisher,29.0,25,0.76,0.48,0.040000000000000036,-0.27999999999999997,0.0,2
Lone'er Kavanagh,0,Fading Contender,29.0,10,0.9,0.5,-0.09999999999999998,-0.3,2.0,1
Loopy Godinez,4,Active Performer,29.0,14,0.6428571428571429,0.14285714285714285,-0.04285714285714293,-0.14285714285714285,4.0,2
Lorenz Larkin,4,Active Performer,39.7,36,0.7222222222222222,0.3888888888888889,-0.12222222222222223,0.21111111111111108,1.0,3
Losene Keita,2,Elite Finisher,29.0,17,0.9411764705882353,0.5882352941176471,0.05882352941176472,0.0117647058823529,1.0,1
Louie Sutherland,2,Elite Finisher,29.0,18,0.7777777777777778,0.4444444444444444,0.022222222222222254,-0.0444444444444444,0.0,1
Louis Cosce,2,Elite Finisher,30.7,9,0.7777777777777778,0.7777777777777778,-0.1777777777777778,-0.1777777777777778,1.0,2
Louis Gaudinot,1,Veteran Contender,41.7,13,0.6153846153846154,0.38461538461538464,-0.2153846153846154,-0.18461538461538463,4.0,3
Louis Smolka,0,Fading Contender,34.8,25,0.68,0.6,-0.28,-0.19999999999999996,0.0,4
Luan Chagas,2,Elite Finisher,32.9,18,0.8333333333333334,0.8333333333333334,-0.2333333333333334,-0.2333333333333334,2.0,2
Luan Lacerda,2,Elite Finisher,29.0,16,0.8125,0.6875,-0.21250000000000002,-0.08750000000000002,2.0,2
Luana Carolina,4,Active Performer,29.0,17,0.7058823529411765,0.23529411764705882,-0.10588235294117654,-0.03529411764705881,0.0,2
Luana Pinheiro,0,Fading Contender,29.0,15,0.7333333333333333,0.4666666666666667,-0.33333333333333326,-0.4666666666666667,5.0,3
Luana Santos,2,Elite Finisher,29.0,11,0.8181818181818182,0.5454545454545454,-0.018181818181818188,0.054545454545454564,1.0,1
Lucas Alexander,4,Active Performer,29.0,12,0.6666666666666666,0.25,-0.06666666666666665,0.15000000000000002,2.0,2
Lucas Almeida,0,Fading Contender,29.0,21,0.7619047619047619,0.6666666666666666,-0.36190476190476184,-0.6666666666666666,5.0,2
Lucas Brennan,2,Elite Finisher,25.9,12,0.8333333333333334,0.75,-0.2333333333333334,-0.15000000000000002,2.0,2
Lucas Martins,1,Veteran Contender,37.5,28,0.7857142857142857,0.6785714285714286,-0.3857142857142857,-0.2785714285714286,0.0,3
Lucas Rocha,2,Elite Finisher,29.0,19,0.8947368421052632,0.7368421052631579,-0.09473684210526312,-0.13684210526315788,0.0,1
Luci Pudilova,3,Veteran Contender,29.0,27,0.5925925925925926,0.18518518518518517,-0.19259259259259254,-0.18518518518518517,5.0,4
Lucie Pudilova,3,Veteran Contender,29.0,28,0.6071428571428571,0.21428571428571427,-0.20714285714285707,-0.21428571428571427,5.0,4
Lucio Linhares,1,Veteran Contender,52.4,26,0.6923076923076923,0.5,-0.09230769230769231,-0.09999999999999998,3.0,2
Ludovit Klein,2,Elite Finisher,29.0,30,0.8,0.6,0.0,-0.19999999999999996,2.0,2
Luigi Vendramini,2,Elite Finisher,30.3,15,0.8,0.8,-0.20000000000000007,-0.20000000000000007,0.0,2
Luis Gurule,0,Fading Contender,29.0,13,0.7692307692307693,0.46153846153846156,-0.36923076923076925,-0.26153846153846155,3.0,3
Luis Henrique,4,Active Performer,32.7,27,0.6296296296296297,0.48148148148148145,0.1703703703703704,0.11851851851851852,0.0,3
Luis Pajuelo,2,Elite Finisher,29.0,9,0.8888888888888888,0.7777777777777778,0.11111111111111116,0.022222222222222254,0.0,1
Luis Pena,3,Veteran Contender,32.8,20,0.6,0.4,-0.39999999999999997,-0.4,5.0,3
Luis Ramos,3,Veteran Contender,45.3,31,0.6451612903225806,0.25806451612903225,-0.4451612903225806,-0.25806451612903225,5.0,3
Luis Saldana,0,Fading Contender,35.3,25,0.68,0.6,-0.08000000000000007,-0.39999999999999997,4.0,2
Luiz Cane,4,Active Performer,45.0,24,0.7083333333333334,0.625,0.09166666666666667,-0.025000000000000022,0.0,2
Luiz Dutra,4,Active Performer,44.0,1,0.0,0.0,0.0,0.0,0.0,1
Luiz Garagorri,0,Fading Contender,29.0,18,0.8333333333333334,0.6666666666666666,-0.43333333333333335,-0.2666666666666666,1.0,2
Lukasz Brzeski,3,Veteran Contender,29.0,18,0.5,0.3888888888888889,-0.3,-0.3888888888888889,7.0,5
Lukasz Sajewski,0,Fading Contender,35.5,20,0.7,0.55,-0.49999999999999994,-0.35000000000000003,1.0,4
Luke Barnatt,1,Veteran Contender,38.1,24,0.625,0.5416666666666666,-0.425,-0.3416666666666666,1.0,3
Luke Fernandez,2,Elite Finisher,29.0,6,1.0,0.8333333333333334,0.0,-0.033333333333333326,1.0,0
Luke Jumeau,2,Elite Finisher,38.2,17,0.7647058823529411,0.5294117647058824,0.03529411764705892,-0.12941176470588234,2.0,2
Luke Riley,2,Elite Finisher,29.0,13,1.0,0.6923076923076923,0.0,-0.09230769230769231,0.0,0
Luke Rockhold,1,Veteran Contender,41.6,21,0.7619047619047619,0.6666666666666666,-0.36190476190476184,-0.2666666666666666,1.0,2
Luke Sanders,1,Veteran Contender,40.4,17,0.7647058823529411,0.5294117647058824,-0.3647058823529411,-0.32941176470588235,0.0,2
Luke Zachrich,1,Veteran Contender,44.4,17,0.8235294117647058,0.6470588235294118,-0.0235294117647058,-0.4470588235294118,1.0,1
Lyman Good,4,Active Performer,41.0,27,0.7777777777777778,0.5185185185185185,-0.1777777777777778,0.08148148148148149,1.0,1
Lyoto Machida,1,Veteran Contender,47.9,37,0.7027027027027027,0.35135135135135137,-0.3027027027027027,-0.15135135135135136,2.0,3
Mac Danzig,1,Veteran Contender,46.4,34,0.6176470588235294,0.4411764705882353,-0.4176470588235294,-0.4411764705882353,4.0,3
Maciej Jewtuszko,1,Veteran Contender,45.3,17,0.7058823529411765,0.7058823529411765,-0.3058823529411765,-0.3058823529411765,1.0,2
Mackens Semerzier,1,Veteran Contender,45.5,12,0.5833333333333334,0.5833333333333334,-0.18333333333333335,-0.18333333333333335,2.0,3
Mackenzie Dern,3,Veteran Contender,29.0,23,0.7391304347826086,0.391304347826087,-0.13913043478260867,-0.19130434782608696,9.0,2
Macy Chiasson,4,Active Performer,29.0,15,0.6666666666666666,0.4,-0.2666666666666666,0.0,1.0,2
Mads Burnell,3,Veteran Contender,32.2,27,0.7407407407407407,0.37037037037037035,-0.14074074074074072,-0.37037037037037035,8.0,2
Magnus Cedenblad,2,Elite Finisher,44.1,18,0.7777777777777778,0.6666666666666666,0.022222222222222254,-0.06666666666666665,1.0,2
Magomed Ankalaev,0,Fading Contender,29.0,23,0.8695652173913043,0.4782608695652174,-0.26956521739130435,-0.2782608695652174,1.0,2
