date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split,agreement_type
2021-04-24,Valentina Shevchenko,Jessica Andrade,Women's Flyweight,5,64.33,64.33,Valentina Shevchenko,79.01,-14.68,14.68,6,Max Value,-1,-450.0,1,1,1,,,1,train,NO_EDGE
2021-04-24,Zhang Weili,Rose Namajunas,Women's Strawweight,5,38.77,38.77,Rose Namajunas,35.71,25.52,25.52,6,Max Value,1,170.0,1,0,0,,,1,train,CONFIRM_DOG
2021-04-24,Na Liang,Ariane Carnelossi,Women's Strawweight,3,51.83,51.83,Na Liang,34.51,17.32,17.32,6,Max Value,1,178.0,1,0,0,,,0,train,CONFIRM_DOG
2021-05-01,Loma Lookboonmee,Sam Hughes,Women's Strawweight,3,71.89,71.89,Loma Lookboonmee,77.84,-5.96,5.96,4,Value,-1,-420.0,1,1,1,,,1,train,NO_EDGE
2021-05-01,Poliana Botelho,Luana Carolina,Women's Flyweight,3,57.29,57.29,Poliana Botelho,68.41,-11.12,11.12,6,Max Value,-1,-245.0,1,1,1,,,0,train,NO_EDGE
2021-05-01,Randa Markos,Luana Pinheiro,Women's Strawweight,3,23.44,23.44,Luana Pinheiro,58.82,17.74,17.74,6,Max Value,1,-155.0,1,1,1,,,1,train,CONFIRM_FAV
2021-05-08,Marina Rodriguez,Michelle Waterson,Women's Flyweight,5,67.42,67.42,Marina Rodriguez,67.42,-0.0,0.0,0,Lock,-1,-235.0,1,1,1,,,1,train,NO_EDGE
2021-05-15,Katlyn Chookagian,Viviane Araujo,Women's Flyweight,3,63.89,63.89,Katlyn Chookagian,53.66,10.23,10.23,6,Max Value,1,-127.0,1,1,1,,,1,train,CONFIRM_FAV
2021-05-15,Gina Mazany,Priscila Cachoeira,Women's Flyweight,3,55.1,55.1,Gina Mazany,67.42,-12.32,12.32,6,Max Value,-1,-235.0,1,1,1,,,0,train,NO_EDGE
2021-05-15,Andrea Lee,Antonina Shevchenko,Women's Flyweight,3,59.65,59.65,Andrea Lee,47.83,11.83,11.83,6,Max Value,1,100.0,1,0,0,,,1,train,CONFIRM_DOG
2021-05-22,Yan Xiaonan,Carla Esparza,Women's Strawweight,3,38.91,38.91,Carla Esparza,44.36,16.73,16.73,6,Max Value,1,117.0,1,0,0,,,1,train,CONFIRM_DOG
2021-05-22,Felicia Spencer,Norma Dumont,Women's Featherweight,3,26.39,26.39,Norma Dumont,37.8,35.81,35.81,6,Max Value,1,157.0,1,0,0,,,1,train,CONFIRM_DOG
2021-06-05,Montana De La Rosa,Ariane Lipski,Women's Flyweight,3,67.62,67.62,Montana De La Rosa,61.11,6.51,6.51,4,Value,1,-114.0,1,1,1,,,1,train,CONFIRM_FAV
2021-06-05,Manon Fiorot,Tabatha Ricci,Women's Flyweight,3,73.81,73.81,Manon Fiorot,74.73,-0.93,0.93,0,Lock,-1,-165.0,1,1,1,,,1,train,NO_EDGE
2021-06-12,Pannie Kianzad,Alexis Davis,Women's Bantamweight,3,56.11,56.11,Pannie Kianzad,66.95,-10.85,10.85,6,Max Value,-1,-240.0,1,1,1,,,1,train,NO_EDGE
2021-06-12,Lauren Murphy,Joanne Calderwood,Women's Flyweight,3,55.99,55.99,Lauren Murphy,43.57,12.42,12.42,6,Max Value,1,117.0,1,0,0,,,1,train,CONFIRM_DOG
2021-06-19,Casey O'Neill,Lara Procopio,Women's Flyweight,3,67.9,67.9,Casey O'Neill,40.49,27.41,27.41,6,Max Value,1,135.0,1,0,0,,,1,train,CONFIRM_DOG
2021-06-19,Kanako Murata,Virna Jandiroba,Women's Strawweight,3,48.82,48.82,Virna Jandiroba,55.22,-4.03,4.03,3,Watch,-1,-139.0,1,1,1,,,1,train,NO_EDGE
2021-06-26,Julia Avila,Julija Stoliarenko,Women's Bantamweight,3,66.28,66.28,Julia Avila,74.75,-8.47,8.47,5,Strong Value,-1,-375.0,1,1,1,,,1,train,NO_EDGE
2021-07-10,Irene Aldana,Yana Kunitskaya,Women's Bantamweight,3,56.76,56.76,Irene Aldana,49.15,7.61,7.61,4,Value,1,-107.0,1,1,1,,,1,train,CONFIRM_FAV
2021-07-10,Jennifer Maia,Jessica Eye,Women's Flyweight,3,58.52,58.52,Jennifer Maia,63.59,-5.07,5.07,4,Value,-1,-200.0,1,1,1,,,1,train,NO_EDGE
