date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split
2026-03-14,Kevin Vallejos,Josh Emmett,Featherweight,5,0.8056,0.7403,Kevin Vallejos,0.8075,-0.0671,0.0671,4,Value,-1,-520.0,1,1,1,0.933,LOCK,1,test
2026-03-14,Jose Delgado,Andre Fili,Featherweight,3,0.7651,0.812,Jose Delgado,0.7955,0.0165,0.0165,1,Strong,1,-480.0,1,1,1,0.9681,LOCK,1,test
2026-03-14,Harry Hardwick,Marwan Rahiki,Featherweight,3,0.0775,0.218,Marwan Rahiki,0.7328,0.0492,0.0492,3,Watch,1,-320.0,1,1,1,0.9764,LOCK,1,test
2026-03-14,Oumar Sy,Ion Cutelaba,Light Heavyweight,3,0.6437,0.749,Oumar Sy,0.7273,0.0218,0.0218,2,Lean,1,-320.0,1,1,1,0.7943,LOCK,0,test
2026-03-14,Charles Johnson,Bruno Silva,Flyweight,3,0.6657,0.7098,Charles Johnson,0.6155,0.0943,0.0943,5,Strong Value,1,-178.0,1,1,1,0.8781,LOCK,1,test
2026-03-14,Myktybek Orolbai,Chris Curtis,Welterweight,3,0.6935,0.7898,Myktybek Orolbai,0.7955,-0.0057,0.0057,0,Lock,-1,-480.0,1,1,1,0.8642,LOCK,1,test
2026-03-14,Vitor Petrino,Steven Asplund,Heavyweight,3,0.4585,0.6036,Vitor Petrino,0.666,-0.0624,0.0624,4,Value,-1,-225.0,0,1,0,0.3546,LOW,1,test
2026-03-14,Elijah Smith,SuYoung You,Bantamweight,3,0.6051,0.6907,Elijah Smith,0.6947,-0.0039,0.0039,0,Lock,-1,-260.0,1,1,1,0.8007,LOCK,1,test
2026-03-14,Manoel Sousa,Bolaji Oki,Lightweight,3,0.3684,0.5854,Manoel Sousa,0.7002,-0.1147,0.1147,6,Max Value,-1,-270.0,0,1,0,0.2445,LOW,1,test
2026-03-14,Brad Tavares,Eryk Anders,Middleweight,3,0.4792,0.4705,Eryk Anders,0.5467,-0.0172,0.0172,1,Strong,-1,-132.0,1,1,1,0.535,LOW,1,test
2026-03-14,Hecher Sosa,Luan Lacerda,Bantamweight,3,0.786,0.7474,Hecher Sosa,0.6361,0.1113,0.1113,6,Max Value,1,-196.0,1,1,1,0.9638,LOCK,1,test
2026-03-07,Charles Oliveira,Max Holloway,Lightweight,5,0.4982,0.4696,Max Holloway,0.6361,-0.1058,0.1058,6,Max Value,-1,-196.0,1,1,1,0.4446,LOW,0,test
2026-03-07,Caio Borralho,Reinier de Ridder,Middleweight,3,0.6347,0.6739,Caio Borralho,0.669,0.0049,0.0049,0,Lock,1,-230.0,1,1,1,0.7714,LOCK,1,test
2026-03-07,Rob Font,Raul Rosas Jr.,Bantamweight,3,0.4522,0.2793,Raul Rosas Jr.,0.7258,-0.0051,0.0051,0,Lock,-1,-310.0,1,1,1,0.7328,HIGH,1,test
2026-03-07,Drew Dober,Michael Johnson,Lightweight,3,0.569,0.5821,Drew Dober,0.6411,-0.059,0.059,4,Value,-1,-200.0,1,1,1,0.5948,MEDIUM,1,test
2026-03-07,Brunno Ferreira,Gregory Rodrigues,Middleweight,3,0.4692,0.4095,Gregory Rodrigues,0.5965,-0.006,0.006,0,Lock,-1,-164.0,1,1,1,0.5863,MEDIUM,1,test
2026-03-07,Cody Brundage,Donte Johnson,Middleweight,3,0.2822,0.1968,Donte Johnson,0.8647,-0.0615,0.0615,4,Value,-1,-900.0,1,1,1,0.925,LOCK,1,test
2026-03-07,Ricky Turcios,Alberto Montes,Featherweight,3,0.3611,0.3427,Alberto Montes,0.6274,0.0299,0.0299,2,Lean,1,-188.0,1,1,1,0.8216,LOCK,1,test
2026-03-07,Nyamjargal Tumendemberel,Cody Durden,Flyweight,3,0.5426,0.6068,Nyamjargal Tumendemberel,0.6335,-0.0268,0.0268,2,Lean,-1,-194.0,1,1,1,0.5653,MEDIUM,1,test
2026-03-07,Jesus Aguilar,Sumudaerji,Flyweight,3,0.4562,0.3672,Sumudaerji,0.6068,0.0261,0.0261,2,Lean,1,-172.0,1,1,1,0.652,HIGH,1,test
2026-03-07,Diyar Nurgozhay,Rafael Tobias,Light Heavyweight,3,0.7857,0.5503,Diyar Nurgozhay,0.3903,0.16,0.16,6,Max Value,1,146.0,1,0,0,0.9273,LOCK,1,test
2026-03-07,Rodolfo Bellato,Luke Fernandez,Light Heavyweight,3,0.7839,0.533,Rodolfo Bellato,0.3387,0.1943,0.1943,6,Max Value,1,184.0,1,0,0,0.8965,LOCK,1,test
2026-02-28,Brandon Moreno,Lone'er Kavanagh,Flyweight,5,0.4308,0.5741,Brandon Moreno,0.6386,-0.0645,0.0645,4,Value,-1,-198.0,0,1,0,0.3578,LOW,0,test
2026-02-28,David Martinez,Marlon Vera,Bantamweight,3,0.6754,0.767,David Martinez,0.7369,0.03,0.03,3,Watch,1,-330.0,1,1,1,0.8902,LOCK,1,test
2026-02-28,Daniel Zellhuber,King Green,Lightweight,3,0.2913,0.5104,Daniel Zellhuber,0.759,-0.2487,0.2487,6,Max Value,-1,-420.0,0,1,0,0.1291,LOW,0,test
2026-02-28,Felipe Bunes,Edgar Chairez,Flyweight,3,0.5835,0.3514,Edgar Chairez,0.7002,-0.0516,0.0516,4,Value,-1,-270.0,0,1,0,0.4395,LOW,1,test
