date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split,agreement_type,corner_swapped
2018-07-28,Katlyn Chookagian,Alexis Davis,Women's Flyweight,3,61.39,61.39,Katlyn Chookagian,59.63,1.76,1.76,1,Strong,1,-160.0,1,1,1,,,1,train,CONFIRM_FAV,1
2018-07-28,Tecia Torres,Joanna Jedrzejczyk,Women's Strawweight,3,35.3,35.3,Joanna Jedrzejczyk,73.28,-8.58,8.58,5,Strong Value,-1,-320.0,1,1,1,,,1,train,NO_EDGE,1
2018-08-04,Polyana Viana,JJ Aldrich,Women's Strawweight,3,54.22,54.22,Polyana Viana,58.82,-4.6,4.6,3,Watch,-1,-155.0,1,1,1,,,0,train,NO_EDGE,0
2018-08-04,Weili Zhang,Danielle Taylor,Women's Strawweight,3,49.89,49.89,Danielle Taylor,26.72,23.4,23.4,6,Max Value,1,260.0,1,0,0,,,0,train,CONFIRM_DOG,1
2018-08-25,Joanne Calderwood,Kalindra Faria,Women's Flyweight,3,64.75,64.75,Joanne Calderwood,62.79,1.96,1.96,1,Strong,1,-185.0,1,1,1,,,1,train,CONFIRM_FAV,0
2018-08-25,Angela Hill,Cortney Casey,Women's Strawweight,3,48.86,48.86,Cortney Casey,44.74,6.4,6.4,4,Value,1,115.0,1,0,0,,,1,train,CONFIRM_DOG,1
2018-09-08,Irene Aldana,Lucie Pudilova,Women's Bantamweight,3,54.44,54.44,Irene Aldana,50.0,4.44,4.44,3,Watch,1,-110.0,1,1,1,,,1,train,CONFIRM_FAV,0
2018-09-08,Carla Esparza,Tatiana Suarez,Women's Strawweight,3,29.05,29.05,Tatiana Suarez,77.84,-6.89,6.89,4,Value,-1,-420.0,1,1,1,,,1,train,NO_EDGE,0
2018-09-08,Karolina Kowalkiewicz,Jessica Andrade,Women's Strawweight,3,24.61,24.61,Jessica Andrade,79.01,-3.62,3.62,3,Watch,-1,-450.0,1,1,1,,,1,train,NO_EDGE,1
2018-09-22,Livinha Souza,Alex Chambers,Women's Strawweight,3,53.61,53.61,Livinha Souza,91.16,-37.55,37.55,6,Max Value,-1,-1500.0,1,1,1,,,1,train,NO_EDGE,0
2018-09-22,Mayra Bueno Silva,Gillian Robertson,Women's Flyweight,3,42.42,42.42,Gillian Robertson,56.2,1.38,1.38,1,Strong,1,-140.0,1,1,1,,,0,train,CONFIRM_FAV,0
2018-10-06,Lina Lansberg,Yana Kunitskaya,Women's Bantamweight,3,40.44,40.44,Yana Kunitskaya,68.41,-8.85,8.85,5,Strong Value,-1,-245.0,1,1,1,,,1,train,NO_EDGE,0
2018-10-06,Aspen Ladd,Tonya Evinger,Women's Bantamweight,3,82.46,82.46,Aspen Ladd,62.79,19.67,19.67,6,Max Value,1,-185.0,1,1,1,,,1,train,CONFIRM_FAV,0
2018-10-06,Michelle Waterson,Felice Herrig,Women's Strawweight,3,61.36,61.36,Michelle Waterson,44.74,16.61,16.61,6,Max Value,1,115.0,1,0,0,,,1,train,CONFIRM_DOG,0
2018-10-27,Sarah Moras,Talita Bernardo,Women's Bantamweight,3,45.35,45.35,Talita Bernardo,38.85,15.8,15.8,6,Max Value,1,150.0,1,0,0,,,1,train,CONFIRM_DOG,0
2018-11-03,Roxanne Modafferi,Sijara Eubanks,Women's Flyweight,3,15.75,15.75,Sijara Eubanks,82.5,1.75,1.75,1,Strong,1,-600.0,1,1,1,,,1,train,CONFIRM_FAV,1
2018-11-10,Amanda Cooper,Ashley Yoder,Women's Strawweight,3,49.37,49.37,Ashley Yoder,56.2,-5.57,5.57,4,Value,-1,-140.0,1,1,1,,,1,train,NO_EDGE,1
2018-11-10,Hannah Cifers,Maycee Barber,Women's Strawweight,3,28.010000000000005,28.010000000000005,Maycee Barber,79.66,-7.67,7.67,4,Value,-1,-470.0,1,1,1,,,1,train,NO_EDGE,1
2018-11-10,Germaine de Randamie,Raquel Pennington,Women's Bantamweight,3,52.29,52.29,Germaine de Randamie,65.81,-13.53,13.53,6,Max Value,-1,-220.0,1,1,1,,,1,train,NO_EDGE,1
2018-11-17,Poliana Botelho,Cynthia Calvillo,Women's Strawweight,3,47.7,47.7,Cynthia Calvillo,38.85,13.45,13.45,6,Max Value,1,150.0,1,0,0,,,1,train,CONFIRM_DOG,1
2018-11-24,Lauren Mueller,Wu Yanan,Women's Flyweight,3,45.77,45.77,Wu Yanan,24.79,29.43,29.43,6,Max Value,1,290.0,1,0,0,,,1,train,CONFIRM_DOG,1
2018-11-24,Yan Xiaonan,Syuri Kondo,Women's Strawweight,3,72.8,72.8,Yan Xiaonan,75.79,-2.99,2.99,2,Lean,-1,-360.0,1,1,1,,,1,train,NO_EDGE,0
2018-11-24,Jessica Aguilar,Weili Zhang,Women's Strawweight,3,25.22,25.22,Weili Zhang,81.63,-6.84,6.84,4,Value,-1,-550.0,1,1,1,,,1,train,NO_EDGE,1
2018-11-30,Antonina Shevchenko,Ji Yeon Kim,Women's Flyweight,3,62.24,62.24,Antonina Shevchenko,71.07,-8.83,8.83,5,Strong Value,-1,-275.0,1,1,1,,,1,train,NO_EDGE,1
2018-11-30,Pannie Kianzad,Macy Chiasson,Women's Featherweight,4,32.35,32.35,Macy Chiasson,48.92,18.73,18.73,6,Max Value,1,-105.0,1,0,0,,,1,train,CONFIRM_DOG,0
2018-11-30,Leah Letson,Julija Stoliarenko,Women's Featherweight,3,63.34,63.34,Leah Letson,64.29,-0.94,0.94,0,Lock,-1,-200.0,1,1,1,,,1,train,NO_EDGE,1
2018-12-08,Katlyn Chookagian,Jessica Eye,Women's Flyweight,3,53.13,53.13,Katlyn Chookagian,67.42,-14.29,14.29,6,Max Value,-1,-235.0,1,1,1,,,0,train,NO_EDGE,0
2018-12-08,Nina Ansaroff,Claudia Gadelha,Women's Strawweight,3,47.98,47.98,Claudia Gadelha,72.86,-20.84,20.84,6,Max Value,-1,-310.0,1,1,1,,,0,train,NO_EDGE,1
