fighter_name,has_ufc_stats_url,ufc_stats_url
Charalampos Grigoriou,True,http://ufcstats.com/fighter-details/68b8ebdfce9dbb61
Charles Johnson,True,http://ufcstats.com/fighter-details/814e5233e2acf2ee
Charles Jourdain,True,http://ufcstats.com/fighter-details/f1d64ae34e088832
Charles Oliveira,True,http://ufcstats.com/fighter-details/07225ba28ae309b6
Charles Radtke,True,http://ufcstats.com/fighter-details/feedf3053472fe56
Charlie Campbell,True,http://ufcstats.com/fighter-details/b39f7a6c2be17ee8
Chase Hooper,True,http://ufcstats.com/fighter-details/971246648e162f0d
Chase Sherman,True,http://ufcstats.com/fighter-details/01b352b6a9074d5c
Chelsea Chandler,True,http://ufcstats.com/fighter-details/af9efbfd63d39734
Chepe Mariscal,True,http://ufcstats.com/fighter-details/e0c6edcb5b5d0b90
Chidi Njokuani,True,http://ufcstats.com/fighter-details/c68c68efaa5ca6ef
Chris Barnett,True,http://ufcstats.com/fighter-details/7a5e8c94a86f9895
Chris Curtis,True,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3
Chris Daukaus,True,http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45
Chris Duncan,True,http://ufcstats.com/fighter-details/fd406a32a6fb3a29
Chris Gutierrez,True,http://ufcstats.com/fighter-details/45f0cc9d18f35137
Chris Padilla,True,http://ufcstats.com/fighter-details/06626b6287e1ae1e
Chris Weidman,True,http://ufcstats.com/fighter-details/3a8176e15b9887c1
Christian Leroy Duncan,True,http://ufcstats.com/fighter-details/a93f94c923c3a9cb
Christian Rodriguez,True,http://ufcstats.com/fighter-details/5ec591b78349ba7e
Christos Giagos,True,http://ufcstats.com/fighter-details/de45aaae23dfa392
Ciryl Gane,True,http://ufcstats.com/fighter-details/787bb1f087ccff8a
Claudio Puelles,True,http://ufcstats.com/fighter-details/d747eb273a40a920
Claudio Ribeiro,True,http://ufcstats.com/fighter-details/972c456ff38b2015
Clay Guida,True,http://ufcstats.com/fighter-details/c47df9303d318c67
Clayton Carpenter,True,http://ufcstats.com/fighter-details/b62d5280966b2460
Cody Brundage,True,http://ufcstats.com/fighter-details/f14f644d41ade29f
Cody Durden,True,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036
Cody Garbrandt,True,http://ufcstats.com/fighter-details/d8c7c61b176e3994
